variable_specification,sample_group,max_scalar,min_scalar,nominal_2050
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_ocean,227,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_oil,228,1.0,1.0,0.0023
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_other,229,1.0,1.0,0.0015
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_solar,230,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_waste,231,1.0,1.0,0.00959
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_wind,232,1.0,1.0,0.0
ef_fgtv_distribution_tonne_ch4_per_m3_fuel_natural_gas,233,1.0,1.0,1.6583123951777e-06
ef_fgtv_distribution_tonne_co2_per_m3_fuel_natural_gas,234,1.0,1.0,8.449852069711043e-08
ef_fgtv_distribution_tonne_nmvoc_per_m3_fuel_natural_gas,235,1.0,1.0,2.4e-08
ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_coal,236,1.0,1.0,0.0001410527016806
ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_natural_gas,237,1.0,1.0,3.23821170194798e-09
ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_oil,238,1.0,1.0,2.467792535850613e-05
ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_coal,239,1.0,1.0,0.0514151820857197
ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_natural_gas,240,1.0,1.0,4.892776229405138e-06
ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_oil,241,1.0,1.0,0.0399749921826133
ef_fgtv_production_flaring_tonne_n2o_per_m3_fuel_natural_gas,242,1.0,1.0,6.321362309450152e-11
ef_fgtv_production_flaring_tonne_n2o_per_m3_fuel_oil,243,1.0,1.0,6.321392251711643e-07
ef_fgtv_production_flaring_tonne_nmvoc_per_m3_fuel_natural_gas,244,1.0,1.0,2.602113960444632e-09
ef_fgtv_production_flaring_tonne_nmvoc_per_m3_fuel_oil,245,1.0,1.0,0.0062529992803453
ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_coal,246,1.0,1.0,0.0
ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_natural_gas,247,1.0,1.0,3.249062558856092e-06
ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_oil,248,1.0,1.0,0.0092441948549119
ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_coal,249,1.0,1.0,0.0
ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_natural_gas,250,1.0,1.0,6.171266993406163e-05
ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_oil,251,1.0,1.0,0.0102490704319759
ef_fgtv_production_fugitive_tonne_n2o_per_m3_fuel_oil,252,1.0,1.0,6.8e-08
ef_fgtv_production_fugitive_tonne_nmvoc_per_m3_fuel_natural_gas,253,1.0,1.0,5.421143377223334e-07
ef_fgtv_production_fugitive_tonne_nmvoc_per_m3_fuel_oil,254,1.0,1.0,0.0140263261984831
ef_fgtv_production_venting_tonne_ch4_per_m3_fuel_coal,255,1.0,1.0,0.0152432705551728
ef_fgtv_production_venting_tonne_ch4_per_m3_fuel_oil,256,1.0,1.0,0.0102176318195558
ef_fgtv_production_venting_tonne_co2_per_m3_fuel_coal,257,1.0,1.0,0.0051633091233467
ef_fgtv_production_venting_tonne_co2_per_m3_fuel_oil,258,1.0,1.0,0.0021213203435596
ef_fgtv_production_venting_tonne_n2o_per_m3_fuel_oil,259,1.0,1.0,0.0
ef_fgtv_production_venting_tonne_nmvoc_per_m3_fuel_oil,260,1.0,1.0,0.0018761663039293
ef_fgtv_transmission_tonne_ch4_per_m3_fuel_natural_gas,261,1.0,1.0,6.458399750119889e-07
ef_fgtv_transmission_tonne_ch4_per_m3_fuel_oil,262,1.0,1.0,1.52e-05
ef_fgtv_transmission_tonne_co2_per_m3_fuel_natural_gas,263,1.0,1.0,6.252865218301555e-09
ef_fgtv_transmission_tonne_co2_per_m3_fuel_oil,264,1.0,1.0,1.395e-06
ef_fgtv_transmission_tonne_n2o_per_m3_fuel_oil,265,1.0,1.0,0.0
ef_fgtv_transmission_tonne_nmvoc_per_m3_fuel_natural_gas,266,1.0,1.0,1.824299895651852e-08
ef_fgtv_transmission_tonne_nmvoc_per_m3_fuel_oil,267,1.0,1.0,0.000152
ef_frst_c_per_wood_products,268,1.0,1.0,0.5325413425
ef_frst_forestfires_mangroves_co2,269,1.0,1.0,1.5780829307
ef_frst_forestfires_primary_co2,270,1.0,1.0,1.57339216192
ef_frst_forestfires_secondary_co2,271,1.0,1.0,1.60744981558
ef_frst_forestmethane_mangroves_kt_ch4_ha,272,1.0,1.0,1e-06
ef_frst_forestmethane_primary_kt_ch4_ha,273,1.0,1.0,1e-06
